school_code,school_name,district,address,grade_class,class_regular,class_special,class_total,research_topic,research_year,research_total_years,ib_stage,future_year,future_total_years,latitude,longitude
7251107,대구복명초등학교,동부,대구광역시 수성구 범안로20길 8 ,다,13,0,13, ,,, ,, ,35.8176268,128.6472131
7261060,대구복현초등학교,서부,대구광역시 북구 공항로 58 ,가,35,1,36, ,,, ,, ,35.89765744,128.6218475
7271060,대구본리초등학교,남부,대구광역시 달서구 장기로 198 ,가,42,2,44,대용부설,1,3, ,, ,35.84457479,128.5386389
7271052,대구봉덕초등학교,남부,대구광역시 남구 효성로 71 ,나,30,3,33, ,,, ,, ,35.83914851,128.5972088
7251245,대구봉무초등학교,동부,대구광역시 동구 팔공로53길 30 ,나,30,1,31, ,,, ,, ,35.92580017,128.637414
8862012,대구부계초등학교,군위,대구광역시 군위군 부계면 치산효령로 1376 ,다,5,0,5, ,,, ,2,4,36.10164475,128.6628119
8862034,대구부계초등학교 고매캠퍼스,군위,대구광역시 군위군 효령면 용매로 970 ,다,2,1,3, ,,, ,, ,36.09728301,128.5823613
8862035,대구부계초등학교 의흥캠퍼스,군위,대구광역시 군위군 의흥면 읍내길 67-17,다,1,1,2, ,,, ,, ,36.17531338,128.7181362
7281022,대구북동초등학교,달성,대구광역시 달성군 논공읍 논공로11길 18,다,12,2,14, ,,, ,1,4,35.72947978,128.4413202
7261078,대구북부초등학교,서부,대구광역시 북구 동천로 20 ,다,10,1,11, ,,, ,, ,35.93328829,128.5587531
7261056,대구북비산초등학교,서부,대구광역시 서구 통학로48길 7,라,8,1,9, ,,, ,4,4,35.8815459,128.5643756
7251089,대구불로초등학교,동부,대구광역시 동구 방천로3길 19 ,다,11,1,12, ,,, ,1,4,35.89720259,128.6319199
7261054,대구비산초등학교,서부,대구광역시 서구 통학로 202 ,다,15,1,16, ,,, ,1,4,35.87859648,128.5645258
7281104,대구비슬초등학교,달성,대구광역시 달성군 유가읍 테크노북로 144 ,다,39,2,41,학교자율성(IB후보),1,2,후보,, ,35.69592604,128.4589414
